as_rank,asn,as_name,is_cloud,instance_count
15678,20886,DE-IORG-AS-1,0,2
15681,11233,GORGE-NETWORKS,0,1
15732,60377,TOOB,0,2
15748,55106,DATACATE-AS1,0,1
15771,203476,GANDI-AS-2,0,13
15792,12044,SCTCNET,0,1
16120,196752,TILAA,0,1
16259,200185,XANDMAIL-ASN,0,1
16354,21069,ASN-METANET,0,1
16559,25532,MASTERHOST-AS,0,1
16872,34989,SERVETHEWORLD-AS,0,1
16887,134697,LAUNTEL-AS-AP,0,3
16938,48926,PE3NY-AS,0,1
17001,25415,ADDIX-AS,0,1
17025,210403,LWS,0,1
17063,11045,STERLING,0,1
17123,50911,AS-ELECTRON,0,1
17129,49683,MASSIVEGRID,0,1
17186,8875,SINMA-ASN,0,6
17234,43885,imatel,0,1
17363,3800,AS3800,0,1
17504,26388,FIBERFI,0,1
17715,49604,ZONE,0,1
18002,58487,CRI-AS-AP,0,1
18008,48254,TWENTYI,0,1
18070,207143,hosttech-AS,0,1
18157,7024,PIXELGATE,0,1
18317,8675,AS_TULATEL,0,1
18317,12574,ROUTING,0,4
18609,24226,CATALYST-NZ,0,1
18624,199785,CHSN-AS,0,1
18660,32678,FIDALIA-AS,0,1
18704,214996,netcup,0,4
18728,199468,Solway-Comms-UK,0,1
18734,51083,Grenode,0,3
18756,26832,RICAWEBSERVICES,0,11
19040,29028,COMPUKOS-AS,0,1
19044,62838,REPRISE-HOSTING,0,1
19078,210538,KEYUBU,0,1
19100,35382,GLESYS-FI-2,0,1
19158,202246,valoo,0,1
19162,60782,INTERPLUS,0,1
19232,42675,OBEHOSTING,0,1
19325,7941,INTERNET-ARCHIVE,0,1
19393,211183,AdminVPS,0,1
19674,200651,FlokiNET,0,4
19798,49457,OPENBUSINESS,0,2
19852,58087,FlorianKolb,0,3
19852,13005,C2INTERNET,0,2
19957,61244,EURO-SAT,0,2
19960,42567,MOJHOST-EU,0,1
20101,44225,Metaways,0,2
20265,202618,rychlydrat,0,1
20265,31147,INLINE-AS,0,1
20430,396949,CLOUDWEBMANAGE-TX,0,2
20699,197395,HOSTGHOST-AS,0,1
20699,44136,ASODERLAND,0,1
20775,44925,THE-1984-AS,0,5
20964,20953,INFONL-AS,0,1
20964,17098,BROWNRICE-INTERNET-1,0,1
21038,47066,PRGMR,0,3
21038,60148,ITO-AS,0,1
21389,35492,FUNKFEUER,0,1
21471,60095,NN-AS,0,1
